Place,URL,Latitude,Longitude,Program,Number of Participants,Organizers        ,
"Nagareyama city, Japan",,35.85631,139.90266,,,"Code for NAGAREYAMA, Code for KASHIWA",
"Nagoya city, Japan",,35.181446,136.906398,,,Code for Nagoya,
"Nantes, France",https://www.eventbrite.fr/e/billets-open-data-day-a-nantes-22495177682,47.2173,-1.5534,"Meeting, hackathon, open data hang out, coffee and tech, come and work on your projects or just chat!",30,LiberTIC,
"Napoli, Italy",http://opendatacampania.it/2016/02/18/opendata-day-a-napoli-cittadini-e-istituzioni-per-i-dati-aperti/,40.836784,14.236937,"Conference, datalab",80,"onData, Mappina association",
"Nara city, Japan",,34.685087,135.805,,,Code for Nara,
"New York City, NY",http://schoolofdata.nyc,40.7399443,-73.9932436,"Conference, datajam, workshops",250,BetaNYC,
"Niigata city, Japan",https://www.facebook.com/events/1512920495681467/,37.916192,139.036413,,,Code for Niigata,
"Numazu city, Japan",,35.095584,138.863493,,,Code for Numazu,
"Nuoro, Italy",http://www.ascuoladiopencoesione.it/blog-scuole-1516/?team=1317,40.320242,9.326438,"OpenDataDay with Europe Direct personal, data journalism about museums",,,
"Nyandarua, Kenya",https://web.facebook.com/groups/122875857734471/?fref=ts,36.5320858,-0.8500459,Forum on Open Governance (Gov 2.0),40,Centre for Youth Empowerment & Leadership - @cyelke Nyandarua Youth Empowerment Trust- @nyenofficial ICANNWiki - @ICANNWiki,
"Oakland,California, USA",http://oaklanddataday16.eventbrite.com,37.8044,122.2708,community data day,100,OpenOakland.org,
"Osaka city, Japan",,34.693738,135.502165,,,ODI Osaka / LOD challenge executive comittee / Osaka city,
"Ouagadougou, Burkina Faso",http://wiki.opendataday.org/Ouagadougou2016,12.37719,-1.50159,Workshop to prototype and application that map power cuts in ouagadougou. We will also make an inventory of the health data in Burkina Faso,50,"Open Knowledge, Beog-Neere and Open Street Map Burkina Faso",
"Palermo, Italy",http://www.carrefoursicilia.it/carrefoursic/2016/open%20data%205%20marzi/OpenData%20Day-%205%20marzo%202016.htm,38.11667,13.37268,"""A Scuola di Open Coesione"", some sicilian schools involved in the project meet regional institutions to discuss sicilian public projects",,Euromed Carrefour Sicilia Occidentale Europe Direct,
"Pamplona, Spain",http://fiwarepamplona.eventbrite.co.uk,42.8132053,-1.6573312,"Conference, Workshops, Training (1-2 March)",150,FINODEX accelerator,
"Parma, Italy",https://ilrisvegliodelsolare.wordpress.com/,44.8044461,10.332515,Meeting on Open Data about asbestos removal and panel solar's installation ,,,
"Perm, Russia",https://vk.com/event115699501,58.0204091,56.0941951,"Meetup ""Open data for social projects""",17,Teplitsa. Technologies for Social Good (te-st.ru),
"Phnom Penh, Cambodia",https://www.facebook.com/events/203821779972869/,11.562108,104.888535,"Meetup with lighting talks, display booths & workshops",,"OKFn Cambodia, Open Development Cambodia, Destination Justice, Design Phnom Penh ",
"Plymouth, UK",www.plymouth.gov.uk/dataplay,50.36878,-4.1478,Data Play Day for Plymouth. Local Council opening up their data to explore and encourage transparency in the City's Data. ,,,
"Pokhara, Nepal",http://www.kathmandulivinglabs.org/,28.2535194,83.975603,"
Mapathon, Open Data Talk, Workshop on Open Data",500,"Kathmandu Living Labs, Geomatics Engineering Students' Association of Nepal (GESAN), Tribhuvan University, Institute of Engineering, Paschminchal Campus",
"Pompei, Italy",https://docs.google.com/document/d/1roXWiCfxBbZu6O86biMzOBFinV462KNrzzK9s7JtD-g/edit?usp=sharing,40.7491267,14.5006415,"Open data, civic monitoring, Project ""A Scuola di Open Coesione""",300,"Team ""Ficcanaso Autorizzate"" - High School ""Pascal"" Pompeii",
"Pontedera, Italy",http://www.marconipontedera.it/dcb/doceboCms/,43.6693833,10.6418906,"Conference, meeting and speaking about Open Data (ASOC - A scuola di Opencoesione Project)",~50-100,"ClikOn 3ASA ITI Marconi, A scuola di OpenCoesione",
"Porto Alegre, RS, Brazil",http://poadigital.com/poadigitalcomemoraopendataday/,-30.0321527,-51.2564556,"Hackathon, talks and keynote",80,#POAdigital,
"Porto, Portugal",http://transparenciahackday.org,41.162142,-8.621953,"Talks, Group discussion with all participants.",~20-30,Transparência Hackday Portugal @thackdaypt,
"Potenza, Italy",http://www.ascuoladiopencoesione.it/lesson_3_form_event/21395/,,,"Open Data Day: Civic monitoring, Project ""A Scuola di Opencoesione""","
","
",
"Potsdam, Brandenburg, Germany",,52.399308,13.054861,Open Data Meetup - get in contact with each other ,10,local activists,
"Québec, Québec, Canada",http://explorationdonneesquebec.info/jido2016,46.8116856,-71.2290837,Exploration de données ouvertes à l'aide de logiciels libres,,"Le Camp, FACIL, Québec Numérique, LinuQ",
"Quito, Ecuador",https://www.facebook.com/events/827441374045783/,-0.22985,-78.52495,"Talks and 6 thematic workshops: data journalism, open mapping, data science with Python, using open sources to work and present data",60,School of Data / MediaLAB Uio,https://www.facebook.com/events/827441374045783/
"Rabat, Morocco",Coming soon,,,Keynote and meet up,30-50,OK Morocco,
"Ravenna, Italy",http://www.agendadigitaleravenna.it/ ,44.417109,12.197232,Workshop,100,Municipality of Ravenna - Local Digital Agenda,
Reggio Calabria,https://www.facebook.com/events/1737072489855276/,38.1157,15.65744,"International Open Data Day 2016, Reggio Calabria a cura di Monithon Calabria in collaborazione con la Dott.ssa Milly Tucci Stati Generali dell'Innovazione ",,,
"Reggio Calabria, Italy",,38.116728,15.659201,"A global platform where citizens, local institutions, open data experts, journalists and datajournalists, young people and students as well as, of course, people who already work in the field of monitoring, will talk about OpenData and will discuss about the same topics. Different schools from Calabria will join the meeting and they will relate their experience as using OpenData information.",100+,Monithon Calabria and dr. Milly Tucci,
"Riccia, Italy",http://www.ascuoladiopencoesione.it/lesson_3_form_event/20620/,41.4826567,14.830786,CHANGE YOUR WAY TO BE A CITIZEN,,,
"Riga, Latvia",http://www.meetup.com/opendata-latvia/events/228730789/,56.9550258,24.1243435,Open data hackathon for journalists,25 - 30,"Baltic Centre of Investigtive Jurnalism ""Re:Baltica"", Open Data Latvia, School of Data Latvia",
"rio de Janeiro, Brazil",http://opendataday.deusto.es,,-2.944678,Talks and app contest,,MORElab research group and Bilbao City Council,
"Rio de Janeiro, Brazil",http://rio.theodi.org/,-22.861444,-43.229091,"1. Open data, crowdsourced solutions (Luciana Sodré)  2. Supreme Court in numbers: public data for a transparent judiciary Daniel Chada) 3. Open data demystified: Dynamic generation tools (Luiz Milfont)",20,ODI Rio (Open Data Institute Node in Rio) / Crie (Reference Center for Entrepreneurial Intelligence),
"Rome, Italy ",https://www.facebook.com/profile.php?id=100010851131915,41.901247,12.507269,"24 Feb. 2016 - Open Data Day: 2 active citizenship projects:  A SCUOLA DI OPEN COESION and OXFAM al Liceo Machiavelli di Roma, class III H",,,
"Saga, Japan",http://code4saga.org,33.2937887,130.1988997,"OpenStreetMap mapping
Ideason",30,Code for Saga,
"Sagami area, Japan",,35.571462,139.373177,,,Sagami society for researches and promotions of OpenData,
"Saint-Petersburg, Russia",https://www.facebook.com/events/653905004747780/,59.9231524,30.3468719,"Talks, workshop, keynote",,"My Open City Foundation, Teplitsa. Technologies for Social Good",
"Saitama city, Japan",,35.861729,139.645482,,,Code for SAITAMA,
"Sakai city, Japan",,34.573262,135.482998,,,Code for Sakai,
"Salerno, Italy",http://dirittodiaccessocivico.it/oddunisa16/,40.771111,14.790556,"Conference, datathon",~100,University of Salerno,
"Samara, Russia",http://xn--2018-94d9anja5l.xn--p1ai/%D1%80%D1%83%D0%B1%D1%80%D0%B8%D0%BA%D0%B0/%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%B0/%D1%81%D0%B0%D0%BC%D0%B0%D1%80%D0%B0/,,,futball games,,,
"San Diego, California, USA",http://opensandiego.org,32.7195951,-117.1551532,,25,"Open San Diego, a Code for America Brigade",
"San Jose, California, USA",http://www.meetup.com/Code-for-San-Jose/events/228940702/,37.3382,-121.8863,San Jose Open Data Jam,,Code for San Jose,
"San José, Costa Rica",http://abriendodatoscostarica.org/,9.938702,-84.068061,Recolección pública de datos sobre acoso a la mujer,20,http://abriendodatoscostarica.org/,
"San Salvador, El Salvador",https://www.facebook.com/OKFN-El-Salvador-731743780257664/,13.69,-70.601842,Open Data Workshops and Promotion,100,"Open Knowledge El Salvador, Consorcio por la Transparencia",
"Santa Ana, El Salvador",http://www.geocensos.com/p/blog-page_14.html,13.993642,-89.5580344,"GeoCensos Open Geo Data Street Camp: We will meet at Simmer Down, close to the Santa Ana cathedral. Breaking the ice exercise, OSMand demonstration, Open Mappers Talks and street surveying tasks. Please confirm attendance to info arroba geocensos punto com",12,Geocensos mesoamerican community,
"Santa Cruz de la Sierra, Bolivia","http://wiki.opendataday.org/SantaCruz_2016",-17.776051,-63.195051,"Talks, group discussions with all participants.",~ 20,Geoinquietos Santa Cruz,
"Santiago, Chile",http://ciudadanointeligente.org/,-33.440329,-70.681361,"We’re going to gather -in a public and crowdy park- people interested in co-working around open data and specially editing articles on Wikipedia. So, yes...we're going to hold an editathon. We hope to gather arround 25 people in Parque Quinta Normal, where we're going to start explaining what open data is and how can improve our societies and, then, work on the creation and edition of articles on Wikipedia about the neighborhood's history and present.",~ 20,Fundación Ciudadano Inteligente,
"Sciacca, Italy",https://www.facebook.com/Open-Arena-1511798335783682/?fref=ts,37.51648,13.0798,"Open Data Day Event with students and people involved in ""A Scuola di open Coesione"" project",,,
"Sendai city, Japan",,38.268215,140.869356,,,"Global Lab Sendai, Sendai city",
"Seoul, South Korea",http://codeforseoul.org,37.551299,126.921878,"Workshop, Datathon",20 ~ 30,"Codenamu, Code for Seoul",
"Shanghai,China",,31.2,121.5,"Workshop, Talks",50~80,"Open Data China, Fudan University and China Industrial Design Institute",
"Shiga, Japan",https://www.facebook.com/events/489988471203200/,35.004391,135.869362,"hands-on workshop, hackathon",50,"Shiga Prefectural Government, Shiga Intercultural Association for Globalization, Otsu City, Coworking Shiga, Code for Shiga / Biwako",
"Sora, Italy",https://dreamwarriorssora.wordpress.com/,41.712933,13.6040803,"""KEEP CALM AND OPEN DATA"" is the event organized in our school ""Liceo Scientifico Leonardo da Vinci"" . We, the DreamWarriors of Asoc project, will ask all the mayors (91!) of  our Province, Frosinone (FR), to take up a challenge: to publish open data about the Public Works  of their Town Hall. 
We will monitor their action and publish results next Open Data Day 2017.",,"4F Liceo Scientifico ""Leonardo Da Vinci""",
"St. Catharines, Ontario, Canada",https://www.eventbrite.ca/e/open-data-day-niagarafoodmap-2016-tickets-21363405521,43.1563879,-79.2367733,"Datathon, focus on foodbanks and related services",40,Cowork Niagara: Home of Niagara's independent workforce,
"St. Catharines, Ontario, Canada",http://www.6social.org/niagara,40.7127837,-74.0059413,"""STEAM"" meets Social Innovation,using STEAM skills to solve social issues through innovation. Hackathon, workshop, open data discussion and ongoing workshop, experiential learning, idea ceation, keynote, working with tech tools and industry mentorship, ",50,Educational Research & Innovation Hub(ihub) & Royal Conservatory of Music--Learning Through the Arts,
"Stockholm, Sweden",http://wiki.opendataday.org/2016/City_Events#Stockholm,59.3251172,18.0710935,"lightning talk, workshop, unhack",10-40,Open Knowledge Sweden,
"Subang Jaya, Malaysia",https://www.facebook.com/events/1129675590386653/,3.077728,101.586589,hackathon,10,Sinar Project,
"Suzaka city, Japan",,36.651097,138.307192,,,Suzakashi-no-jouhouka-wo-kangaeru-kai,
"Taipei, Taiwan",http://hack.g0v.tw/,25.0411752,121.614617,Hackathon,120~150,g0v jothon & open culture foundation,
"Tajikistan,
Khujand,
Dushanbe",opendata.tj,38.577295,68.789134,"Keynote, Workshop, Hackathon",80,ICT4D.TJ | OpenData.TJ,
"Takaoka city, Japan",,36.754096,137.025728,,,Code for Takaoka,
"Tama city, Japan",https://www.facebook.com/code4tama/,35.637004,139.446307,,,Code for TAMA,
"Tanba city, Japan",,35.1771,135.035854,,,OpenData@Tanba executive comittee,
"Taranto, Italy",https://www.facebook.com/groups/1582370461982907/?fref=ts,40.47163,17.2427,"Workshop, Hackathon",,Open Puglia - Camera di Commercio di Taranto,
"Tartu, Estonia",https://www.facebook.com/events/969937356395544/,58.3661111,26.7361111,"Discuss the slowly starting open data project of Tartu city with officials, civil society activists, students and start-up entrepreneurs etc, get overview of databases, their technical and legal status, test and prioritize them, find problems and solutions (incl proof-of-concept experiments), give community feedback to officials and create good relations with local government officials. This is an event organized by the civil society and start-ups to show that open data is important to us and to boost real progress in the city.",~30,Tartu Hackerspace / Garage48 Tartu hub (contact: Märt Põder boamaod@gmail.com),
"Teresina, Piauí, Brazil",http://teresinahc.org/open-data-day/,-5.08833,-42.80995,"Talks, Hackathon",~30,Teresina Hacker Clube and APISoL,
"Termoli, Italy",https://www.facebook.com/1024786074252830/photos/a.1050833808314723.1073741828.1024786074252830/1069159016482202/?type=3&theater,"41°59'23""28 N","14°59'25""44 E",Boccardi : International Open Data Day! ,,,
"The American University in Cairo, Egypt",,30.042785,31.236622,"Five-Minutes Data Pitch Competition for data-driven innovations for development, panel discussion",150 +,"Access to Knowledge for Development Center (A2K4D)-Data Revolution Project and AUC Venture Lab, The American University in Cairo",
"Thessaloniki, Greece",http://goo.gl/zyndDt,40.6402778,22.9438889,"On the occasion of International Women's and the Open Data Day the Open Knowledge Foundation Greece organizes an event on March 8, 2016 to strengthen women's entrepreneurship through the exploitation of Open Knowledge and Open Data ) at the Central Library of AUTH. This event is supported also by the Sector of Women Managers and Entrepreneurs (TOGME) of Hellenic Management Association (EEDE) and the Central Library of AUTH.",100,"Open Knowledge Greece,  Sector of Women Managers and Entrepreneurs (TOGME) of Hellenic Management Association (EEDE) and Central Library of AUTH",
"Tirana , Albania ",http://openprocurement.al/,41.3279457,19.8185323,Workshop Presenting Open Local Government Procurements Albania ,50,Albanian Institute of Science / Open Data Albania,
"Tokushima pref, Japan",,34.065718,134.55936,,,Code for Tokushima,
"Tokyo1, Japan",,35.689488,139.691706,,,Code for Tokyo,
"Tokyo2, Japan",,35.694003,139.753595,,,Tokyo OpendataDay2016 executive comittee,
"Tokyo3, Japan",,35.675514,139.75143,,,"MIC, NSTAC",
"Tokyo4, Japan",,35.685175,139.7528,,,Open Knowledge Japan media centre,
"Tokyo5, Japan",,35.664359,139.762118,,55,"Ministry of Economy, Trade and Industry, HackCamp",
"Tokyo6, Japan",,35.69384,139.703549,,,E2D3 ver. 0.7 Development team,
"Tokyo7, Japan",https://ideabox2016.openlabs.go.jp/,35.672132,139.75089,,,Digital Government Idea Box,
"Torino, Italy",http://nexa.polito.it/iodd2016,45.07036,7.68588,Hunting 4 data hunters!,20,Synapta and the Nexa Center for Internet & Society,
"Toronto, ON, Canada",http://civictech.ca/codeacross-toronto-2016/,43.65667,-79.3805,"Open Data Day/CodeAcross Hackathon, with a speech from the Deputy Premier!",,,
"Torreón, México",http://datostrc.gob.mx/,25.544444,-103.441667,"Conferences, Workshops and Promotion",><200,Municipality of Torreón,
"Toshima ward, Tokyo, Japan",,35.732459,139.715405,,,Code for Toshima,
"Tottori pref, Japan",http://code4tottori.org/,35.49701,134.22899,"Keynote, Workshop, Hackathon",~50,"Tottori pref., Nippon Foundation, Code for Tottori",
"Toyama city, Japan",,36.695952,137.213677,,,Code for Toyama City,
Trapani,www.europadirect.it,,,,,,
"Triangle Region, NC, USA",http://triangleopendataday.org,35.772001,-78.6745242,"Keynote, talks, hackathon, vendor demonstrations",,,
"Tulsa, OK, USA",https://www.eventbrite.com/e/tulsa-codeacross-2016-tickets-20832074295,36.159364,-95.993796,"Talks, hack day",40+,Code for Tulsa (Code for America brigade),
"Ueda city, Japan",,36.401912,138.248889,,,Nagano univ.,
"Ulyanovsk, Russia",https://te-st.ru/2016/02/29/ulsk-opendataday/,54.30808,48.38809,Open Data Day Meetup,20,"Teplitsa. Technologies for Social Good (te-st.ru), Regional Information and Resource Center",
"Utrecht, Netherlands",http://www.meetup.com/Open-Data-Drinks-Nederland/events/228400176/,52.083365,5.037988,"Talks, learning to put data on a map, working on projects or participant's questions, barcamp style",12,"The Green Land, Zpot and Data Duicers",
"Vancouver, Canada",https://www.opendatabc.ca/pages/vodday-vancouver-open-data-day-hackathon,49.24966,-123.11934,Hack day with competition,,Code for Canada and Open Data Society of BC,
"Vibo Valentia, Calabria, Italy",https://www.facebook.com/asocvibovalentia/photos/a.803221933115090.1073741828.785507611553189/819268741510409/?type=3&theater,38.666667,16.1,OPEN DATA DAY A SCUOLA DI OPEN COESIONE PROJECT,100,TEAM SEA RANGERS LICEO CAPIALBI VIBO VALENTIA,
"Villarrica, Chile",http://ciudadanointeligente.org/,-39.283662,-72.226474,"In Villarrica, the open data topic isn't actually a topic. Then, we need to expose open data movement to the citizens, talking about initiatives around the world, showing them how data is a valuable resource to improve our government and our lives, raising a better understand of how the community has been improved through the data. Through an invitation for people in charge of open data at the council and organizations and people from the civil society, we pretend to put in the table this topic to empower and encourage them to request free information to the council, allow them working together, as a community, in order to build a better society.",~ 20,Fundación Ciudadano Inteligente,
"Vitória, ES, Brazil",http://opendataday-vitoria.strikingly.com/,-20.297618,-40.295777,CKAN HackDay - Implement e CKAN Plataform for data sharing and Access,,Prodest,
"Wakayama pref, Japan",,34.225987,135.167509,,,IODD 2016 in wakayama executive comittee,
"Washington, DC, USA",http://dc.opendataday.org,38.91523,-77.04578,Workshops and hackathon,350,Open Data Day DC,
"Wellington, New Zealand",https://www.eventbrite.co.nz/e/open-data-leadership-series-beth-noveck-google-hangout-tickets-21287458361,-41.296053,174.779707,Open Data Leadership Series: Beth Noveck (Google Hangout),~100,Open Government Information & Data Programme #opendataleadership #opendatanz,
"Windhoek, Namibia",https://www.facebook.com/groups/NBICDeveloperCircle/,-22.5663547,17.0745671,"Windhoek, Namibia",50,NBII Developer Circle,
"Xalapa, Veracruz, México",,19.5181079,-96.896283,"Talks, Workshop - Training & Data Fest",120,"Gobierno del Estado de Veracruz, H. Ayuntamiento de Xalapa, Social TIC y Codeando México",
YAOUNDE CITY  CAMEROON ,"http://www.meetup.com/ivission-yaounde-cameroon/
",3.8667,11.5167,"Empowering cameroonians to accelerate open data by sharing examples of the impact of open data
In government, intermediaries, education, economy, science and politics,
In strengthening an effective citizens engagement 
",limited to 500,Netsquared yaounde cameroon technology for global change ,
"Yasugi city, japan",,35.431442,133.250915,,,Yasuki city OpenData executive comittee,
"Yokohama city, Japan",,35.443708,139.638026,,,IODD2016 in YOKOHAMA executive comittee,
"Zagreb, Croatia",http://about.codeforcroatia.org/codeacross,45.8132546,15.9728706,"Panel, Workshop, Hackathon",~100,"Code for Croatia, Open Zagreb, GONG, OGP",
"Zürich, Switzerland",http://techup.ch/2270/open-data-day-2016,47.38487,8.53376,"An open data community meet-up will take place on Saturday afternoon, from approximately 15:15:15 at Impact Hub Zürich. Join us in person!",,,
"Zürich, Switzerland",http://www.dada-data.net/de/manifesto,47.3716,8.54409,"Dada-Data-Hackathon with the aim of producing manifesto texts 4.3.16 and concert on 5.3.16 Cabaret Voltaire Zurich, original site of birth of Dada 1916",,,
,http://gana.narino.gov.co,1.26499,-77.267,"GANADay, Worshop y Hackathon ",40,GANA Gobierno Abierto Nariño / Grupo de Investigación Artefacto,
